Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,12
id_1,01/06/2025 00:00:00,15
id_2,01/06/2025 00:00:00,11
id_3,01/06/2025 00:00:00,15
id_4,01/06/2025 00:00:00,16
id_5,01/06/2025 00:00:00,10
id_6,01/06/2025 00:00:00,11
id_7,01/06/2025 00:00:00,11
id_0,01/07/2025 00:00:00,12.24
id_1,01/07/2025 00:00:00,15.1
id_2,01/07/2025 00:00:00,11.22
id_3,01/07/2025 00:00:00,15.91
id_4,01/07/2025 00:00:00,16.26
id_5,01/07/2025 00:00:00,9.81
id_6,01/07/2025 00:00:00,10.95
id_7,01/07/2025 00:00:00,10.96
id_0,01/08/2025 00:00:00,12.4
id_1,01/08/2025 00:00:00,15.32
id_2,01/08/2025 00:00:00,11.36
id_3,01/08/2025 00:00:00,15.54
id_4,01/08/2025 00:00:00,16.07
id_5,01/08/2025 00:00:00,10.11
id_6,01/08/2025 00:00:00,11.53
id_7,01/08/2025 00:00:00,10.8
id_0,01/09/2025 00:00:00,12.37
id_1,01/09/2025 00:00:00,15.46
id_2,01/09/2025 00:00:00,11.22
id_3,01/09/2025 00:00:00,15.13
id_4,01/09/2025 00:00:00,15.94
id_5,01/09/2025 00:00:00,10.05
id_6,01/09/2025 00:00:00,11.62
id_7,01/09/2025 00:00:00,11.25
id_0,01/10/2025 00:00:00,12.43
id_1,01/10/2025 00:00:00,15.55
id_2,01/10/2025 00:00:00,11.03
id_3,01/10/2025 00:00:00,15.34
id_4,01/10/2025 00:00:00,15.82
id_5,01/10/2025 00:00:00,10.2
id_6,01/10/2025 00:00:00,11.58
id_7,01/10/2025 00:00:00,11.62
id_0,01/13/2025 00:00:00,12.53
id_1,01/13/2025 00:00:00,15.53
id_2,01/13/2025 00:00:00,11.35
id_3,01/13/2025 00:00:00,15.24
id_4,01/13/2025 00:00:00,15.69
id_5,01/13/2025 00:00:00,10.17
id_6,01/13/2025 00:00:00,11.7
id_7,01/13/2025 00:00:00,12.39
id_0,01/14/2025 00:00:00,12.64
id_1,01/14/2025 00:00:00,15.9
id_2,01/14/2025 00:00:00,11.5
id_3,01/14/2025 00:00:00,15.58
id_4,01/14/2025 00:00:00,15.49
id_5,01/14/2025 00:00:00,10.3
id_6,01/14/2025 00:00:00,11.68
id_7,01/14/2025 00:00:00,12.05
id_0,01/15/2025 00:00:00,12.72
id_1,01/15/2025 00:00:00,16
id_2,01/15/2025 00:00:00,11.41
id_3,01/15/2025 00:00:00,15.78
id_4,01/15/2025 00:00:00,15.44
id_5,01/15/2025 00:00:00,10.56
id_6,01/15/2025 00:00:00,11.83
id_7,01/15/2025 00:00:00,12.37
id_0,01/16/2025 00:00:00,12.81
id_1,01/16/2025 00:00:00,15.95
id_2,01/16/2025 00:00:00,11.45
id_3,01/16/2025 00:00:00,15.63
id_4,01/16/2025 00:00:00,15.42
id_5,01/16/2025 00:00:00,10.49
id_6,01/16/2025 00:00:00,11.83
id_7,01/16/2025 00:00:00,11.94
id_0,01/17/2025 00:00:00,12.7
id_1,01/17/2025 00:00:00,16.05
id_2,01/17/2025 00:00:00,11.56
id_3,01/17/2025 00:00:00,15.68
id_4,01/17/2025 00:00:00,15.83
id_5,01/17/2025 00:00:00,10.56
id_6,01/17/2025 00:00:00,11.65
id_7,01/17/2025 00:00:00,11.71
id_0,01/20/2025 00:00:00,12.59
id_1,01/20/2025 00:00:00,15.95
id_2,01/20/2025 00:00:00,11.3
id_3,01/20/2025 00:00:00,15.51
id_4,01/20/2025 00:00:00,15.72
id_5,01/20/2025 00:00:00,10.63
id_6,01/20/2025 00:00:00,11.36
id_7,01/20/2025 00:00:00,11.68
id_0,01/21/2025 00:00:00,12.44
id_1,01/21/2025 00:00:00,16.12
id_2,01/21/2025 00:00:00,11.12
id_3,01/21/2025 00:00:00,15.2
id_4,01/21/2025 00:00:00,15.57
id_5,01/21/2025 00:00:00,10.59
id_6,01/21/2025 00:00:00,11.87
id_7,01/21/2025 00:00:00,11.51
id_0,01/22/2025 00:00:00,12.46
id_1,01/22/2025 00:00:00,16.38
id_2,01/22/2025 00:00:00,11.28
id_3,01/22/2025 00:00:00,15.73
id_4,01/22/2025 00:00:00,15.26
id_5,01/22/2025 00:00:00,10.66
id_6,01/22/2025 00:00:00,11.74
id_7,01/22/2025 00:00:00,11.53
id_0,01/23/2025 00:00:00,12.48
id_1,01/23/2025 00:00:00,16.26
id_2,01/23/2025 00:00:00,11.32
id_3,01/23/2025 00:00:00,15.67
id_4,01/23/2025 00:00:00,15.62
id_5,01/23/2025 00:00:00,10.74
id_6,01/23/2025 00:00:00,11.9
id_7,01/23/2025 00:00:00,11.13
id_0,01/24/2025 00:00:00,12.44
id_1,01/24/2025 00:00:00,16.25
id_2,01/24/2025 00:00:00,11.27
id_3,01/24/2025 00:00:00,15.48
id_4,01/24/2025 00:00:00,15.74
id_5,01/24/2025 00:00:00,10.89
id_6,01/24/2025 00:00:00,11.55
id_7,01/24/2025 00:00:00,11.11
id_0,01/27/2025 00:00:00,12.49
id_1,01/27/2025 00:00:00,16.34
id_2,01/27/2025 00:00:00,11.36
id_3,01/27/2025 00:00:00,14.84
id_4,01/27/2025 00:00:00,15.53
id_5,01/27/2025 00:00:00,10.88
id_6,01/27/2025 00:00:00,11.75
id_7,01/27/2025 00:00:00,11.48
