Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,13
id_1,01/06/2025 00:00:00,15
id_2,01/06/2025 00:00:00,17
id_3,01/06/2025 00:00:00,17
id_4,01/06/2025 00:00:00,14
id_0,01/07/2025 00:00:00,12.99
id_1,01/07/2025 00:00:00,14.79
id_2,01/07/2025 00:00:00,17.08
id_3,01/07/2025 00:00:00,17.01
id_4,01/07/2025 00:00:00,13.38
id_0,01/08/2025 00:00:00,13.04
id_1,01/08/2025 00:00:00,14.64
id_2,01/08/2025 00:00:00,17.18
id_3,01/08/2025 00:00:00,17.16
id_4,01/08/2025 00:00:00,13.67
id_0,01/09/2025 00:00:00,13.18
id_1,01/09/2025 00:00:00,14.59
id_2,01/09/2025 00:00:00,17.2
id_3,01/09/2025 00:00:00,17.25
id_4,01/09/2025 00:00:00,13.6
id_0,01/10/2025 00:00:00,13.4
id_1,01/10/2025 00:00:00,14.11
id_2,01/10/2025 00:00:00,17.11
id_3,01/10/2025 00:00:00,17.17
id_4,01/10/2025 00:00:00,13.22
id_0,01/13/2025 00:00:00,13.16
id_1,01/13/2025 00:00:00,14.3
id_2,01/13/2025 00:00:00,17.45
id_3,01/13/2025 00:00:00,17.44
id_4,01/13/2025 00:00:00,12.81
id_0,01/14/2025 00:00:00,13.01
id_1,01/14/2025 00:00:00,14.56
id_2,01/14/2025 00:00:00,16.98
id_3,01/14/2025 00:00:00,17.28
id_4,01/14/2025 00:00:00,13.6
id_0,01/15/2025 00:00:00,13.33
id_1,01/15/2025 00:00:00,14.71
id_2,01/15/2025 00:00:00,16.97
id_3,01/15/2025 00:00:00,17.43
id_4,01/15/2025 00:00:00,13.86
id_0,01/16/2025 00:00:00,13.78
id_1,01/16/2025 00:00:00,14.63
id_2,01/16/2025 00:00:00,16.17
id_3,01/16/2025 00:00:00,17.6
id_4,01/16/2025 00:00:00,13.98
id_0,01/17/2025 00:00:00,13.77
id_1,01/17/2025 00:00:00,14.39
id_2,01/17/2025 00:00:00,16.16
id_3,01/17/2025 00:00:00,17.72
id_4,01/17/2025 00:00:00,13.78
id_0,01/20/2025 00:00:00,14.2
id_1,01/20/2025 00:00:00,14.45
id_2,01/20/2025 00:00:00,16.26
id_3,01/20/2025 00:00:00,17.68
id_4,01/20/2025 00:00:00,13.68
id_0,01/21/2025 00:00:00,14.17
id_1,01/21/2025 00:00:00,14.3
id_2,01/21/2025 00:00:00,16.16
id_3,01/21/2025 00:00:00,17.67
id_4,01/21/2025 00:00:00,14.03
id_0,01/22/2025 00:00:00,14.38
id_1,01/22/2025 00:00:00,14.5
id_2,01/22/2025 00:00:00,16.43
id_3,01/22/2025 00:00:00,17.5
id_4,01/22/2025 00:00:00,14.04
id_0,01/23/2025 00:00:00,14.48
id_1,01/23/2025 00:00:00,14.76
id_2,01/23/2025 00:00:00,16.36
id_3,01/23/2025 00:00:00,17.5
id_4,01/23/2025 00:00:00,13.99
id_0,01/24/2025 00:00:00,14.84
id_1,01/24/2025 00:00:00,15.11
id_2,01/24/2025 00:00:00,15.85
id_3,01/24/2025 00:00:00,17.45
id_4,01/24/2025 00:00:00,13.72
id_0,01/27/2025 00:00:00,14.92
id_1,01/27/2025 00:00:00,15.3
id_2,01/27/2025 00:00:00,15.78
id_3,01/27/2025 00:00:00,17.46
id_4,01/27/2025 00:00:00,13.41
id_0,01/28/2025 00:00:00,14.67
id_1,01/28/2025 00:00:00,15.42
id_2,01/28/2025 00:00:00,15.94
id_3,01/28/2025 00:00:00,17.38
id_4,01/28/2025 00:00:00,13.13
id_0,01/29/2025 00:00:00,15.23
id_1,01/29/2025 00:00:00,15.35
id_2,01/29/2025 00:00:00,15.69
