Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,18
id_1,01/06/2025 00:00:00,17
id_2,01/06/2025 00:00:00,13
id_3,01/06/2025 00:00:00,19
id_0,01/07/2025 00:00:00,17.26
id_1,01/07/2025 00:00:00,16.65
id_2,01/07/2025 00:00:00,13.01
id_3,01/07/2025 00:00:00,19.28
id_0,01/08/2025 00:00:00,17.25
id_1,01/08/2025 00:00:00,17.04
id_2,01/08/2025 00:00:00,13.11
id_3,01/08/2025 00:00:00,18.87
id_0,01/09/2025 00:00:00,17.78
id_1,01/09/2025 00:00:00,17.41
id_2,01/09/2025 00:00:00,12.79
id_3,01/09/2025 00:00:00,18.61
id_0,01/10/2025 00:00:00,17.33
id_1,01/10/2025 00:00:00,17.97
id_2,01/10/2025 00:00:00,12.6
id_3,01/10/2025 00:00:00,18.32
id_0,01/13/2025 00:00:00,17.3
id_1,01/13/2025 00:00:00,18.42
id_2,01/13/2025 00:00:00,12.21
id_3,01/13/2025 00:00:00,18
id_0,01/14/2025 00:00:00,17.47
id_1,01/14/2025 00:00:00,18.76
id_2,01/14/2025 00:00:00,12.54
id_3,01/14/2025 00:00:00,17.74
id_0,01/15/2025 00:00:00,16.9
id_1,01/15/2025 00:00:00,18.92
id_2,01/15/2025 00:00:00,12.33
id_3,01/15/2025 00:00:00,17.67
id_0,01/16/2025 00:00:00,16.72
id_1,01/16/2025 00:00:00,18.64
id_2,01/16/2025 00:00:00,12.13
id_3,01/16/2025 00:00:00,17.26
id_0,01/17/2025 00:00:00,17.39
id_1,01/17/2025 00:00:00,18.74
id_2,01/17/2025 00:00:00,12.12
id_3,01/17/2025 00:00:00,17.16
id_0,01/20/2025 00:00:00,17.38
id_1,01/20/2025 00:00:00,18.66
id_2,01/20/2025 00:00:00,12.22
id_3,01/20/2025 00:00:00,16.61
id_0,01/21/2025 00:00:00,16.47
id_1,01/21/2025 00:00:00,18.75
id_2,01/21/2025 00:00:00,12.52
id_3,01/21/2025 00:00:00,17.11
id_0,01/22/2025 00:00:00,17.17
id_1,01/22/2025 00:00:00,19.61
id_2,01/22/2025 00:00:00,12.3
id_3,01/22/2025 00:00:00,16.74
id_0,01/23/2025 00:00:00,17.15
id_1,01/23/2025 00:00:00,19.86
id_2,01/23/2025 00:00:00,12.53
